species,n,neurons,catGRANULE_rnk>0.5,PScore_rnk>0.5,PLAAC_NLLR>0,SaPS>0.5,SaPS_rnk>0.5,LLPhyScore_High
Worm,279,302,70.96774193548387,58.778625954198475,22.22222222222222,32.61648745519713,68.45878136200717,11.469534050179211
Fly,328,100000,69.51219512195122,51.757188498402556,26.21951219512195,40.24390243902439,68.29268292682927,15.548780487804878
Zebrafish,219,10000000,68.94977168949772,59.06976744186046,17.35159817351598,28.767123287671232,63.926940639269404,10.95890410958904
Mouse,958,71000000,73.38204592901879,57.11159737417943,19.51983298538622,34.96868475991649,71.81628392484342,15.762004175365345
Human,1683,86000000000,75.87641117052881,57.27908455181183,17.927337701012508,40.938799762329175,73.97504456327985,15.805109922756982
