ensembl_gene_id,gene_symbol,entrez_id,description,rbpworld_family,species,common_name,group,neurons,genome_mb,cell_types,data_source,protein_type,is_canonical
ENSG00000011485,PPP5C,5536,protein phosphatase 5 catalytic subunit,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000011590,ZBTB32,27033,zinc finger and BTB domain containing 32,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000012048,BRCA1,672,BRCA1 DNA repair associated,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000013016,EHD3,30845,EH domain containing 3,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000013364,MVP,9961,major vault protein,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000013503,POLR3B,55703,RNA polymerase III subunit B,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000013523,ANGEL1,23357,angel homolog 1,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000013563,DNASE1L1,1774,deoxyribonuclease 1 like 1,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000014123,UFL1,23376,UFM1 specific ligase 1,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000014164,ZC3H3,23144,zinc finger CCCH-type containing 3,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000014216,CAPN1,823,calpain 1,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000014641,MDH1,4190,malate dehydrogenase 1,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000015153,YAF2,10138,YY1 associated factor 2,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000015479,MATR3,9782,matrin 3,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000018510,AGPS,8540,alkylglycerone phosphate synthase,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000018869,ZNF582,147948,zinc finger protein 582,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000019549,SNAI2,6591,snail family transcriptional repressor 2,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000019995,ZRANB1,54764,zinc finger RANBP2-type containing 1,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
