species,common_name,pfam_id,family,n_genes,go_terms
Danio_rerio,Zebrafish,PF16544,STAR_dimer,3,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Danio_rerio,Zebrafish,PF17904,KH_9,3,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Danio_rerio,Zebrafish,PF18336,Tudor_FRX1,3,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Xenopus_tropicalis,Frog,PF00013,KH_1,23,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Xenopus_tropicalis,Frog,PF01652,IF4E,5,GO:0006403:RNA localization; GO:0051236:establishment of RNA localization
Xenopus_tropicalis,Frog,PF02136,NTF2,4,GO:0006403:RNA localization; GO:0051236:establishment of RNA localization
Xenopus_tropicalis,Frog,PF02854,MIF4G,10,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Xenopus_tropicalis,Frog,PF08389,Xpo1,6,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Xenopus_tropicalis,Frog,PF15440,THRAP3_BCLAF1,3,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Mus_musculus,Mouse,PF00012,HSP70,6,GO:0045047:protein targeting to ER
Mus_musculus,Mouse,PF00013,KH_1,31,GO:0006403:RNA localization; GO:0051236:establishment of RNA localization
Mus_musculus,Mouse,PF00035,dsrm,16,GO:0008298:intracellular mRNA localization; GO:0006403:RNA localization
Mus_musculus,Mouse,PF00076,RRM_1,215,GO:0006403:RNA localization; GO:0051236:establishment of RNA localization; GO:0008298:intracellular mRNA localization
Mus_musculus,Mouse,PF00118,Cpn60_TCP1,6,GO:0006403:RNA localization
Mus_musculus,Mouse,PF00225,Kinesin,6,GO:0008298:intracellular mRNA localization
Mus_musculus,Mouse,PF00240,ubiquitin,12,GO:0045047:protein targeting to ER
Mus_musculus,Mouse,PF00270,DEAD,71,GO:0006403:RNA localization; GO:0051236:establishment of RNA localization; GO:1904582:positive regulation of intracellular mRNA localization; GO:1904580:regulation of intracellular mRNA localization
Mus_musculus,Mouse,PF00271,Helicase_C,102,GO:0006403:RNA localization; GO:0051236:establishment of RNA localization; GO:1904582:positive regulation of intracellular mRNA localization
Mus_musculus,Mouse,PF00570,HRDC,3,GO:0006403:RNA localization
