orthogroup,category,n_species,total_genes,expansion_type,human,mouse,zebrafish,frog,fly,worm
OG0000460,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000461,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000462,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000463,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000464,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000465,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000466,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000467,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000468,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000469,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000470,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000471,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000472,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000473,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000474,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000475,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000476,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000477,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000478,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000479,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000480,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000481,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000482,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000483,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000484,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000485,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000486,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000487,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000488,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000489,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000490,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000491,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000492,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000493,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000494,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000495,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000496,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000497,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000498,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000499,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000500,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000501,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000502,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000503,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000504,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000505,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000506,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000507,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000508,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000509,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000510,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000511,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000512,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000513,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000514,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000515,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000516,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000517,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000518,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000519,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000520,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000521,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000522,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000523,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000524,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000525,Mammal-shared,2,2,1:1:1 (single-copy),1,1,0,0,0,0
OG0000526,Other,1,2,Small (≤2),0,2,0,0,0,0
